SCHOOL_ID,SCHOOL_NM,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610257,MORTON,"431 N TROY ST, 60612",POINT (-87.70502524872865 41.889287316249856),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7050252482,41.8892873173
610082,MOUNT GREENWOOD,"10841 S HOMAN AVE, 60655",POINT (-87.70580994353654 41.69573386064251),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7058099433,41.6957338615
610086,MOUNT VERNON,"10540 S MORGAN ST, 60643",POINT (-87.64765248449699 41.70195211365202),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6476524844,41.7019521146
610088,MOZART,"2200 N HAMLIN AVE, 60647",POINT (-87.72188814344507 41.92090965176399),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.7218881432,41.9209096528
610385,MULTICULTURAL ACAD SCHOLARSHIP,"3120 S KOSTNER AVE, 60623",POINT (-87.73415832835119 41.836035192554455),HS,"9, 10, 11, 12","District, non-alternative",-87.7341583282,41.8360351935
610089,MURPHY,"3539 W GRACE ST, 60618",POINT (-87.71683185278259 41.95007775667869),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7168318527,41.9500777575
610090,MURRAY,"5335 S KENWOOD AVE, 60615",POINT (-87.59334040176374 41.79853548073276),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5933404014,41.7985354816
400050,NAMASTE CHTR CAMPUS,"3737 S PAULINA ST, 60609",POINT (-87.66772404228664 41.8256997583143),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6677240418,41.8256997588
610092,NASH,"4837 W ERIE ST, 60644",POINT (-87.74721521372389 41.892174562119806),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7472152137,41.8921745628
610231,NATIONAL TEACHERS,"55 W CERMAK RD, 60616",POINT (-87.62928056719142 41.852800001800155),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6292805674,41.8528000025
610085,NEAR NORTH,"739 N ADA ST, 60642",POINT (-87.66127678932577 41.89552217357298),ES,"2, 3, 4, 5, 6, 7, 8","District, Special Ed.",-87.6612767895,41.8955221748
610093,NEIL,"8555 S MICHIGAN AVE, 60619",POINT (-87.62093345276227 41.73840658985237),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6209334526,41.738406591
610094,NETTELHORST,"3252 N BROADWAY, 60657",POINT (-87.64456121747423 41.94163655583136),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6445612172,41.9416365569
610284,NEW FIELD,"1707 W MORSE AVE, 60626",POINT (-87.67316832252675 42.00770257090857),ES,"PK, K, 1, 2, 3","District, non-alternative",-87.6731683225,42.0077025718
610323,BOWEN HS,"2710 E 89TH ST, 60617",POINT (-87.55775983608365 41.73373352987684),HS,"9, 10, 11, 12","District, non-alternative",-87.5577598358,41.7337335306
610095,NEWBERRY,"700 W WILLOW ST, 60614",POINT (-87.64599024816263 41.913947218883536),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6459902479,41.9139472198
610081,SHERIDAN,"533 W 27TH ST, 60616",POINT (-87.6413397997343 41.84440015897237),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6413397995,41.8444001597
610172,SHERMAN,"1000 W 52ND ST, 60609",POINT (-87.65022144208079 41.79976620261307),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6502214424,41.7997662036
610173,SHERWOOD,"245 W 57TH ST, 60621",POINT (-87.63227937751655 41.79080024059559),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6322793773,41.7908002415
610174,SHIELDS,"4250 S ROCKWELL ST, 60632",POINT (-87.68964723164635 41.81590948497543),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6896472312,41.8159094857
610175,SHOESMITH,"1330 E 50TH ST, 60615",POINT (-87.59390493804058 41.80429401220716),ES,"K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.5939049382,41.8042940131
610176,SHOOP,"11140 S BISHOP ST, 60643",POINT (-87.65926756869003 41.69046615898771),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6592675685,41.6904661601
609692,SIMEON HS,"8147 S VINCENNES AVE, 60620",POINT (-87.63541036650936 41.74578122751524),HS,"8, 9, 10, 11, 12","District, non-alternative",-87.6354103664,41.7457812285
610177,SKINNER,"1260 W ADAMS ST, 60607",POINT (-87.6594189761182 41.87910254667827),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6594189761,41.8791025478
610534,SKINNER NORTH,"640 W SCOTT ST, 60610",POINT (-87.64484149354364 41.90510912156029),ES,"K, 1, 2, 3, 4","District, non-alternative",-87.6448414931,41.9051091223
609978,SMITH,"744 E 103RD ST, 60628",POINT (-87.604660405806 41.70755761501772),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6046604056,41.7075576162
610179,SMYSER,"4310 N MELVINA AVE, 60634",POINT (-87.78197453871607 41.95886803827752),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7819745387,41.9588680391
610180,SMYTH,"1059 W 13TH ST, 60608",POINT (-87.65344502547242 41.865351019004784),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6534450255,41.8653510202
610383,GREATER LAWNDALE HS,"3120 S KOSTNER AVE, 60623",POINT (-87.73415832835119 41.836035192554455),HS,"9, 10, 11, 12","District, non-alternative",-87.7341583282,41.8360351935
610182,SOLOMON,"6206 N HAMLIN AVE, 60659",POINT (-87.724042631838 41.993942334210196),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7240426316,41.9939423355
610543,SOLORIO HS,"5400 S ST LOUIS AVE, 60632",POINT (-87.71105881737256 41.79520055454392),HS,"9, 10","District, non-alternative",-87.7110588171,41.7952005555
610160,SONGHAI,"11725 S PERRY AVE, 60628",POINT (-87.62509440653712 41.68087394189294),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6250944063,41.6808739426
609990,SOUTH LOOP,"1212 S PLYMOUTH CT, 60605",POINT (-87.62861500020779 41.86687450626405),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6286150002,41.8668745068
610547,SOUTH SHORE INTL HS,"1955 E 75TH ST, 60649",POINT (-87.57635263541904 41.75879165984346),HS,9,"District, non-alternative",-87.5763526352,41.7587916605
610530,SOUTHSHORE,"1415 E 70TH ST, 60637",POINT (-87.59039610087879 41.76775510691513),ES,"PK, K, 1, 2, 3, 4","District, non-alternative",-87.5903961004,41.7677551076
609745,SOUTHSIDE HS,"7342 S HOYNE AVE, 60636",POINT (-87.67594676399989 41.759852423889306),HS,"11, 12","District, Special Ed.",-87.675946764,41.7598524245
610183,SPENCER TECH ACAD,"214 N LAVERGNE AVE, 60644",POINT (-87.75044473585189 41.88487640040731),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7504447356,41.8848764015
610184,SPRY,"2400 S MARSHALL BLVD, 60623",POINT (-87.6990907756243 41.84816075339759),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6990907756,41.8481607544
610357,SPRY HS,"2400 S MARSHALL BLVD, 60623",POINT (-87.6990907756243 41.84816075339759),HS,"9, 10, 11, 12","District, non-alternative",-87.6990907756,41.8481607544
610339,STAGG,"7424 S MORGAN ST, 60621",POINT (-87.64921669123405 41.75892472990612),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6492166911,41.758924731
609732,STEINMETZ COLLEGE PREP HS,"3030 N MOBILE AVE, 60634",POINT (-87.78351523406519 41.93563358995752),HS,"9, 10, 11, 12","District, non-alternative",-87.7835152337,41.9356335909
610185,STEVENSON,"8010 S KOSTNER AVE, 60652",POINT (-87.73166568254057 41.74710687678285),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7316656825,41.7471068777
610187,STEWART,"4525 N KENMORE AVE, 60640",POINT (-87.65608899583415 41.96435045859344),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6560889954,41.9643504597
610163,STOCK,"7507 W BIRCHWOOD AVE, 60631",POINT (-87.81419465694833 42.01689164150172),ES,"PK, K","District, Special Ed.",-87.8141946569,42.0168916423
610189,STOCKTON,"4420 N BEACON ST, 60640",POINT (-87.66385295947414 41.96230777349466),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6638529592,41.9623077746
610191,STONE,"6239 N LEAVITT ST, 60659",POINT (-87.68479278591458 41.995359053645636),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6847927859,41.9953590542
610192,STOWE,"3444 W WABANSIA AVE, 60647",POINT (-87.71331750190451 41.91193807982686),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7133175017,41.9119380806
610405,SUDER,"2022 W WASHINGTON BLVD, 60612",POINT (-87.67763610985752 41.88321451927483),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.6776361099,41.8832145199
610193,NEW SULLIVAN,"8331 S MACKINAW AVE, 60617",POINT (-87.54292760724458 41.74382852131679),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5429276072,41.7438285224
609733,SULLIVAN HS,"6631 N BOSWORTH AVE, 60626",POINT (-87.66919214530328 42.00268756161123),HS,"9, 10, 11, 12","District, non-alternative",-87.6691921449,42.0026875624
610194,SUMNER,"4320 W FIFTH AVE, 60624",POINT (-87.73352395468827 41.87082837944341),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7335239542,41.8708283806
610195,SUTHERLAND,"10015 S LEAVITT ST, 60643",POINT (-87.6768211701704 41.71144507047556),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6768211703,41.7114450714
609895,TURNER-DREW,"9300 S PRINCETON AVE, 60620",POINT (-87.63016447890514 41.72560921119149),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6301644786,41.7256092119
610206,TWAIN,"5134 S LOTUS AVE, 60638",POINT (-87.7589284055664 41.799046394529036),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7589284051,41.7990463955
609740,WELLS HS,"936 N ASHLAND AVE, 60622",POINT (-87.66748286293847 41.898994706945494),HS,"9, 10, 11, 12","District, non-alternative",-87.6674828629,41.8989947077
610223,WENTWORTH,"6950 S SANGAMON ST, 60621",POINT (-87.64821812932698 41.76725597977539),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.648218129,41.7672559805
610100,WEST PARK,"1425 N TRIPP AVE, 60651",POINT (-87.73244310046185 41.90690720689343),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7324431,41.9069072077
610224,WEST PULLMAN,"11941 S PARNELL AVE, 60628",POINT (-87.6357432082506 41.676645934887254),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6357432078,41.6766459355
610542,WEST RIDGE,"6700 N WHIPPLE ST, 60645",POINT (-87.70591720048695 42.002958996824745),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7059172002,42.0029589978
610300,WESTCOTT,"409 W 80TH ST, 60620",POINT (-87.63475051174666 41.74886822268175),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6347505117,41.748868223
609693,GEORGE WESTINGHOUSE HS,"3223 W FRANKLIN BLVD, 60624",POINT (-87.70733230345627 41.88997720579003),HS,"9, 10, 11","District, non-alternative",-87.707332304,41.889977207
610225,WHISTLER,"11533 S ADA ST, 60643",POINT (-87.65538381876141 41.68390700787299),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6553838194,41.6839070086
610315,WHITE,"1136 W 122ND ST, 60643",POINT (-87.6505385407339 41.672309401497124),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6505385404,41.672309402
610227,WHITNEY,"2815 S KOMENSKY AVE, 60623",POINT (-87.72554563785832 41.840080431821576),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7255456379,41.8400804325
610228,WHITTIER,"1900 W 23RD ST, 60608",POINT (-87.67339164950458 41.850480887019614),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6733916494,41.8504808878
610230,WILDWOOD,"6950 N HIAWATHA AVE, 60646",POINT (-87.77834486631235 42.00749067566868),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7783448661,42.0074906768
610232,WILLIAMS ES,"2710 S DEARBORN ST, 60616",POINT (-87.62855344535394 41.844043314786134),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.6285534452,41.844043316
610380,"WILLIAMS, D","4934 S WABASH AVE, 60615",POINT (-87.62444722509098 41.80455816435276),HS,"8, 9, 10, 11, 12","District, non-alternative",-87.624447225,41.8045581656
610336,WILIAMS MIDDLE,"2710 S DEARBORN ST, 60616",POINT (-87.62855344535394 41.844043314786134),MS,"6, 7, 8","District, non-alternative",-87.6285534452,41.844043316
609977,WOODLAWN,"6657 S KIMBARK AVE, 60637",POINT (-87.59439199442251 41.77336552972722),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.5943919945,41.7733655303
610285,WOODS,"6206 S RACINE AVE, 60636",POINT (-87.65465257491017 41.781194307523286),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6546525747,41.7811943086
610345,WOODSON,"4414 S EVANS AVE, 60653",POINT (-87.6084187673055 41.814498792283395),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6084187673,41.8144987935
610392,WORLD LANGUAGE HS,"3120 S KOSTNER AVE, 60623",POINT (-87.73415832835119 41.836035192554455),HS,"9, 10, 11, 12","District, non-alternative",-87.7341583282,41.8360351935
610233,YALE,"7025 S PRINCETON AVE, 60621",POINT (-87.63213199129419 41.76642828220913),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6321319911,41.7664282826
610234,YATES,"1839 N RICHMOND ST, 60647",POINT (-87.70028031260621 41.915038547085196),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7002803124,41.9150385478
610235,YOUNG,"1434 N PARKSIDE AVE, 60651",POINT (-87.76714284960318 41.90679057743543),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.767142849,41.9067905785
609755,YOUNG HS,"211 S LAFLIN ST, 60607",POINT (-87.66423333734878 41.87860253499426),HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.664233337,41.8786025357
400087,YNG WOMEN-CHTR CAMPUS,"2641 S CALUMET AVE, 60616",POINT (-87.61872379387239 41.84454380822879),HS,"7, 8, 9, 10, 11, 12",Charter,-87.6187237939,41.8445438087
609686,YOUTH CONNECTION CHARTER SCHOOL,"10 W 35TH ST, 60616",POINT (-87.62698194736919 41.83108610350149),HS,"10, 11, 12",Alternative/Charter,-87.626981947,41.8310861044
609973,ZAPATA,"2728 S KOSTNER AVE, 60623",POINT (-87.73431332981303 41.841393805207026),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7343133293,41.8413938061
609766,VAUGHN HS,"4355 N LINDER AVE, 60641",POINT (-87.76466317698181 41.960363795875224),HS,"9, 10, 11, 12","District, Special Ed.",-87.7646631767,41.9603637969
609871,VICK,"2554 W 113TH ST, 60655",POINT (-87.68567659549926 41.68819083559772),ES,"PK, K","District, Special Ed.",-87.6856765953,41.6881908365
610518,VOISE HS,"231 N PINE AVE, 60644",POINT (-87.76324887427936 41.88521325402359),HS,"9, 10, 11, 12","District, non-alternative",-87.7632488739,41.8852132548
610209,VOLTA,"4950 N AVERS AVE, 60625",POINT (-87.7246052240708 41.971634003862654),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7246052243,41.971634005
610210,VON HUMBOLDT,"2620 W HIRSCH ST, 60622",POINT (-87.69301874548299 41.906694545611856),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6930187452,41.9066945466
609737,VON STEUBEN HS,"5039 N KIMBALL AVE, 60625",POINT (-87.71338625085617 41.97318504986082),HS,"9, 10, 11, 12","District, non-alternative",-87.7133862503,41.9731850508
610366,WACKER,"9746 S MORGAN ST, 60643",POINT (-87.64804431872466 41.71619329108035),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6480443184,41.7161932923
610213,WADSWORTH,"6420 S UNIVERSITY AVE, 60637",POINT (-87.59811391691477 41.778129696685504),ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.5981139173,41.7781296979
610216,WALSH,"2015 S PEORIA ST, 60608",POINT (-87.64808616934148 41.85483575120244),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6480861689,41.8548357522
610217,"WARD, J","2701 S SHIELDS AVE, 60616",POINT (-87.63535578500851 41.84398009177358),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.635355785,41.8439800928
610133,"WARD, L","410 N MONTICELLO AVE, 60624",POINT (-87.71748725402783 41.8884484675711),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7174872536,41.8884484688
610218,WARREN,"9239 S JEFFERY AVE, 60617",POINT (-87.57535254882318 41.726762906508135),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5753525492,41.7267629073
609739,WASHINGTON HS,"3535 E 114TH ST, 60617",POINT (-87.53757029550647 41.68813693289164),HS,"9, 10, 11, 12","District, non-alternative",-87.5375702953,41.6881369337
610219,"WASHINGTON, G","3611 E 114TH ST, 60617",POINT (-87.5360152980283 41.688131480678415),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5360152977,41.6881314815
610124,"WASHINGTON, H","9130 S UNIVERSITY AVE, 60619",POINT (-87.59625661189918 41.72853414025221),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5962566116,41.7285341413
610220,WATERS,"4540 N CAMPBELL AVE, 60625",POINT (-87.69133250768876 41.964365415016765),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6913325077,41.9643654161
610221,WEBSTER,"4055 W ARTHINGTON ST, 60624",POINT (-87.72752437077057 41.869915860445715),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7275243705,41.8699158616
610110,"WELLS, I","244 E PERSHING RD, 60653",POINT (-87.61979634214786 41.82387996465738),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9","District, non-alternative",-87.6197963421,41.8238799652
