the_geom,School_ID,Y,X,School_Typ,Grade_Cat,Grades,SCH_ADDR,SCHOOL_NM
POINT (-87.69600587942459 41.847947431747436),609921,1887826.51145,1157895.91992,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2832 W 24TH BLVD, 60623",TELPOCHCALLI
POINT (-87.75795257360043 41.92160395650289),609922,1914547.66896,1140837.92844,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5252 W PALMER ST, 60639",BELMONT-CRAGIN
POINT (-87.65548116090856 41.72967267412901),609924,1844812.53284,1169277.11894,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","9025 S THROOP ST, 60620",FORT DEARBORN
POINT (-87.70216290437963 41.87016771714874),609925,1895911.13406,1156158.84892,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3030 W ARTHINGTON ST, 60612",KELLMAN
POINT (-87.63551281031579 41.90659998946294),609926,1909327.56982,1174204.14551,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","225 W EVERGREEN AVE, 60610",FRANKLIN
POINT (-87.66809931234333 41.73842547724147),609927,1847975.09279,1165808.18756,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8530 S WOOD ST, 60620",FOSTER PARK
POINT (-87.61178404265375 41.81800340293327),609928,1877096.56769,1180934.7413,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4214 S ST LAWRENCE AVE, 60653",FULLER
POINT (-87.66843588180264 41.797580270019274),609929,1869529.90795,1165549.69661,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5300 S HERMITAGE AVE, 60609",FULTON
POINT (-87.71689166480509 41.91761651373583),609930,1913172.29376,1152023.00614,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2010 N CENTRAL PARK AVE, 60647",FUNSTON
POINT (-87.67193897621 42.02109055717383),609933,1950969.84645,1163966.46224,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1631 W JONQUIL TER, 60626",GALE
POINT (-87.53517530585388 41.70680099884353),609935,1836759.88622,1202193.40317,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10347 S EWING AVE, 60617",GALLISTEL
POINT (-87.79623511407263 41.976351663260274),609937,1934430.2811,1130294.41213,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5225 N OAK PARK AVE, 60656",GARVY
POINT (-87.71869663582645 41.83706515120611),609938,1883815.98568,1151741.95913,Traditional,ES,"PK, 3, 4, 5, 6, 7, 8","3740 W 31ST ST, 60623",GARY
POINT (-87.62371943750111 41.72533227855046),609939,1843300.81244,1177959.91522,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","9301 S STATE ST, 60619",GILLESPIE
POINT (-87.67596551356017 41.76061412672374),609941,1856043.93197,1163599.53056,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7316 S HOYNE AVE, 60636",RANDOLPH
POINT (-87.69289969583106 41.9228310066053),609942,1915120.31021,1158538.58629,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2236 N ROCKWELL ST, 60647",GOETHE
POINT (-87.6225456606333 41.670617539510694),609943,1823366.06852,1178444.87062,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","12302 S STATE ST, 60628",OWENS
POINT (-87.55330671029182 41.66248099818303),609944,1820564.85431,1197388.66672,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","12810 S ESCANABA AVE, 60633",GRISSOM
POINT (-87.65791249240219 41.975816529586815),609945,1934501.46501,1167907.94583,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5120 N WINTHROP AVE, 60640",GOUDY
POINT (-87.64334423562201 41.813303728919124),609947,1875313.36817,1172345.55539,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4436 S UNION AVE, 60609",GRAHAM ES
POINT (-87.75711559859316 41.948763578738756),609949,1924446.21085,1140999.18993,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3730 N LARAMIE AVE, 60641",GRAY
POINT (-87.71719032015918 41.83879051932452),609950,1884447.64353,1152147.93043,Traditional,ES,"PK, K, 1, 2","3000 S LAWNDALE AVE, 60623",ORTIZ DE DOMINGUEZ
POINT (-87.5975029309574 41.81117346166929),609951,1874640.78159,1184848.91785,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1119 E 46TH ST, 60653",ARIEL
POINT (-87.67149236962507 41.829669280594075),609952,1881216.54173,1164626.21355,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","3525 S HONORE ST, 60609",GREENE
POINT (-87.71866612901917 41.870742161904005),609954,1896087.84204,1151662.42681,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3715 W POLK ST, 60624",GREGORY
POINT (-87.6450252374513 41.73892015701293),609955,1848204.87219,1172104.24419,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8524 S GREEN ST, 60620",GRESHAM
POINT (-87.75880329372156 41.775464260680124),609956,1861293.3634,1140962.67688,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5450 W 64TH PL, 60638",GRIMES
POINT (-87.69936418519978 41.81300736946093),609958,1875087.73607,1157074.87268,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4420 S SACRAMENTO AVE, 60632",GUNSAULUS
POINT (-87.63380633095656 41.849958315448625),609959,1888691.17967,1174836.89883,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","247 W 23RD PL, 60616",HAINES
POINT (-87.7765787090829 41.78019173126069),609960,1862984.1238,1136102.96449,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","6140 S MELVINA AVE, 60638",HALE
POINT (-87.55186171886463 41.74375308254673),609961,1850183.07492,1197514.77277,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8344 S COMMERCIAL AVE, 60617",NINOS HEROES
POINT (-87.67086537303385 41.9452196541829),609963,1923324.33907,1164472.02783,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1650 W CORNELIA AVE, 60657",HAMILTON
POINT (-87.66117465983926 41.807241557294766),609964,1873065.82214,1167502.11659,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4747 S BISHOP ST, 60609",HAMLINE
POINT (-87.69624330091553 41.852719134125216),609966,1889564.82457,1157818.33182,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2819 W 21ST PL, 60623",HAMMOND
POINT (-87.68566784266554 41.84921490516214),609967,1888309.44815,1160709.14625,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2332 S WESTERN AVE, 60608",FINKL
POINT (-87.72393113204004 41.91481634101467),609968,1912138.21611,1150114.36166,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1841 N SPRINGFIELD AVE, 60647",MCAULIFFE
POINT (-87.58685459669739 41.793447242937695),609969,1868206.47654,1187807.93752,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1556 E 56TH ST, 60637",HARTE
POINT (-87.63273687422281 41.757340541424945),609971,1854944.15628,1175403.37178,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7525 S HARVARD, 60620",HARVARD
POINT (-87.72312803497978 41.96402870839728),609972,1930072.8656,1150205.29455,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7","4540 N HAMLIN AVE, 60625",HAUGAN
POINT (-87.73431332380997 41.841393803375034),609973,1885363.26342,1147475.30559,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2728 S KOSTNER AVE, 60623",ZAPATA
POINT (-87.65770887713292 41.9422754880435),609974,1922279.41367,1168059.67945,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","3319 N CLIFTON AVE, 60657",HAWTHORNE
POINT (-87.75581325276387 41.89917135484533),609975,1906377.13937,1141475.17881,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1018 N LARAMIE AVE, 60651",HAY
POINT (-87.6685037746682 41.9945408856925),609976,1941302.19419,1164975.02486,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1518 W GRANVILLE AVE, 60660",HAYT
POINT (-87.59439199560451 41.773365531535546),609977,1860871.07422,1185815.43199,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","6657 S KIMBARK AVE, 60637",WOODLAWN
POINT (-87.60466040818855 41.707557616833554),609978,1836867.3824,1183217.48476,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","744 E 103RD ST, 60628",SMITH
POINT (-87.64034074985236 41.83959485551953),609979,1884900.33193,1173087.05194,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3010 S PARNELL AVE, 60616",HEALY
POINT (-87.7457260568699 41.80817499924241),609981,1873237.02061,1144448.25718,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4640 S LAMON AVE, 60638",HEARST
POINT (-87.67332725897988 41.80711213143929),609983,1872992.98239,1164189.27183,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4747 S WINCHESTER AVE, 60609",HEDGES
POINT (-87.73580189345245 41.87866464687076),609985,1898941.82583,1146975.16683,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4409 W WILCOX ST, 60624",HEFFERAN
POINT (-87.67188730720532 41.79059128647526),609986,1866975.90748,1164628.17581,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5650 S WOLCOTT AVE, 60636",HENDERSON
POINT (-87.63366447727905 41.815787750861396),609987,1876239.8696,1174976.96581,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4316 S PRINCETON AVE, 60609",HENDRICKS
POINT (-87.71563237170022 41.95898879701257),609988,1928250.91059,1152257.11033,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7","4250 N SAINT LOUIS AVE, 60618",HENRY
POINT (-87.62861500383094 41.86687450538593),609990,1894866.96784,1176200.69433,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1212 S PLYMOUTH CT, 60605",SOUTH LOOP
POINT (-87.71899385437372 41.862081296189544),609991,1892931.20399,1151595.75142,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3711 W DOUGLAS BLVD, 60623",HERZL
POINT (-87.67218159330169 41.80977029629537),609993,1873964.00341,1164494.16788,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4619 S WOLCOTT AVE, 60609",LARA
POINT (-87.71036161379189 41.97033523440857),609994,1932395.97447,1153660.63607,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","3244 W AINSLIE ST, 60625",HIBBARD
POINT (-87.77912305214302 41.98367169519542),609995,1937127.37118,1134930.17451,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5625 N MCVICKER AVE, 60646",HITCH
POINT (-87.65379166831435 41.838027387031694),609996,1884299.86594,1169426.24266,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1104 W 31ST ST, 60608",HOLDEN
POINT (-87.64979535548208 41.79378764864115),609997,1868187.76628,1170643.48399,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","955 W GARFIELD BLVD, 60621",HOLMES
POINT (-87.75939838514245 41.89361221058601),610000,1904344.8416,1140512.70305,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","720 N LOREL AVE, 60644",HOWE
POINT (-87.5682281016789 41.73333775178664),610002,1846347.68529,1193082.07297,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","8905 S CRANDON AVE, 60617",HOYNE
POINT (-87.6536334470717 41.74245162654451),610003,1849473.03238,1169744.70003,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8324 S RACINE AVE, 60620",CUFFE
POINT (-87.611244458428 41.70033514086694),610004,1834220.45199,1181441.73569,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","10650 S EBERHART AVE, 60628",CULLEN
POINT (-87.73177738714124 41.86051773774005),610005,1892336.78917,1148117.50148,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4247 W 15TH ST, 60623",HUGHES C
POINT (-87.71954083263259 41.76678528121033),610006,1858204.80724,1151694.78501,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3849 W 69TH PL, 60629",HURLEY
POINT (-87.65336555308967 41.871254823914555),610009,1896408.77742,1169446.4772,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","820 S CARPENTER ST, 60607",GALILEO
POINT (-87.67580971870883 41.93924749646116),610010,1921137.71123,1163143.62333,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3149 N WOLCOTT AVE, 60657",JAHN
POINT (-87.70052941984592 41.98464077590956),610011,1937628.57785,1156295.89983,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5650 N MOZART ST, 60659",JAMIESON
POINT (-87.66220943343347 41.858848875127656),610013,1891869.11754,1167073.0807,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1420 W 17TH ST, 60608",PILSEN
POINT (-87.65230159448453 41.85806477637944),610015,1891604.64694,1169774.38829,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1746 S MILLER ST, 60608",JUNGMAN
POINT (-87.67723250603343 41.72526343941196),610016,1843159.84849,1163352.06846,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","9241 S LEAVITT ST, 60643",KELLOGG
POINT (-87.69731553741838 41.84794071549516),610017,1887821.41861,1157539.10764,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2850 W 24TH BLVD, 60623",SAUCEDO
POINT (-87.64089202544183 41.776452809875806),610019,1861890.49934,1173122.21066,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6450 S LOWE AVE, 60621",KERSHAW
POINT (-87.71423364672151 41.90450276371701),610021,1908398.84793,1152780.91735,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3501 W POTOMAC AVE, 60651",CASALS
POINT (-87.6682224666446 42.00364046247936),610022,1944618.73185,1165025.73768,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6700 N GREENVIEW AVE, 60626",KILMER
POINT (-87.71601740734381 41.84848776988237),610024,1887983.58003,1152442.14966,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2345 S MILLARD AVE, 60623",CARDENAS
POINT (-87.77948259998581 41.78996463373201),610026,1866540.17738,1135287.9963,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5625 S MOBILE AVE, 60638",KINZIE
POINT (-87.63952072119606 41.72362690530607),610027,1842644.23075,1173651.47535,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","9351 S LOWE AVE, 60620",KIPLING
POINT (-87.66509327199046 41.90888612755934),610029,1910096.52301,1166145.49922,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1501 N GREENVIEW AVE, 60642",LOZANO
POINT (-87.60248144781133 41.79800187755761),610030,1869829.54383,1183532.50086,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","936 E 54TH ST, 60615",KOZMINSKI
POINT (-87.65250013920128 41.7192919470327),610032,1841036.32944,1170120.74225,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1150 W 96TH ST, 60643",GREEN
POINT (-87.6375648635131 41.913899532240116),610033,1911982.99332,1173623.97475,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1734 N ORLEANS ST, 60614",LASALLE
POINT (-87.71295678680646 41.8629600240244),610034,1893263.23548,1153237.93875,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3500 W DOUGLAS BLVD, 60623",LAWNDALE
POINT (-87.75454995058135 41.90682604943746),610036,1909168.82539,1141800.28446,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1431 N LEAMINGTON AVE, 60651",LEWIS
POINT (-87.65993281795551 41.7976848317794),610037,1869586.0581,1167867.96756,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5300 S LOOMIS BLVD, 60609",LIBBY
POINT (-87.64449730395249 41.92452481554802),610038,1915839.63226,1171705.99565,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","615 W KEMPER PL, 60614",LINCOLN
POINT (-87.70263467430392 41.94000927950655),610039,1921360.46899,1155843.23472,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3221 N SACRAMENTO AVE, 60618",VON LINNE
POINT (-87.74851501351564 41.91881409549009),610040,1913548.41571,1143413.27106,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","2103 N LAMON AVE, 60639",LLOYD
POINT (-87.79560407108775 41.93176235386544),610041,1918182.89595,1130567.95259,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2828 N OAK PARK AVE, 60634",LOCKE J
POINT (-87.7839188468446 41.91271802632649),610043,1911263.28807,1133792.01439,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6333 W BLOOMINGDALE AVE, 60639",LOVETT
POINT (-87.71021700196137 41.906519590642205),610044,1909141.69684,1153868.99195,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3320 W HIRSCH ST, 60651",LOWELL
POINT (-87.77717419891789 41.93419216195367),610046,1919100.31242,1135577.05642,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","2941 N MCVICKER AVE, 60634",LYON
POINT (-87.59071239557854 41.7595480593299),610047,1855844.73716,1186862.61625,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7433 S DORCHESTER AVE, 60619",MADISON
POINT (-87.63982651349252 41.90824688157034),610048,1909918.1756,1173025.05141,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1420 N HUDSON AVE, 60610",MANIERRE
POINT (-87.7579205092878 41.92061097049243),610051,1914185.88261,1140849.08262,Traditional,ES,"6, 7, 8","5252 W PALMER ST, 60639",NORTHWEST
POINT (-87.57481563733104 41.74827412688152),610052,1851774.45101,1191236.04878,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8050 S CHAPPEL AVE, 60617",MANN
POINT (-87.69702979923206 41.77388107943701),610053,1860835.08446,1157816.77441,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6550 S RICHMOND ST, 60629",MARQUETTE
POINT (-87.552483426299 41.71658801422081),610054,1840282.84013,1197434.90711,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","9822 S EXCHANGE AVE, 60617",MARSH
POINT (-87.70809202044725 41.87971359062364),610055,1899377.81545,1154518.61795,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3250 W MONROE ST, 60624",FARADAY
POINT (-87.73167243317674 41.85686370029008),610056,1891005.469,1148155.42234,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4217 W 18TH ST, 60623",MASON
POINT (-87.69211506377934 41.780903897781826),610057,1863404.10229,1159138.30917,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6201 S FAIRFIELD AVE, 60629",FAIRFIELD
POINT (-87.6572874390699 41.9232035215517),610059,1915330.44922,1168229.13777,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2250 N CLIFTON AVE, 60614",MAYER
POINT (-87.66098467185456 41.87429963784802),610060,1897501.95666,1167362.62736,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","1340 W HARRISON ST, 60607",JACKSON A
POINT (-87.64110257532762 41.82999286271181),610062,1881399.72739,1172907.654,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3527 S WALLACE ST, 60609",MCCLELLAN
POINT (-87.70630009267421 41.842267165253034),610063,1885735.99562,1155106.26343,Traditional,ES,"PK, K, 1, 2, 3, 4, 5","2712 S SAWYER AVE, 60623",MCCORMICK
POINT (-87.60935721102054 41.77542384358335),610065,1861586.3884,1181726.94181,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6543 S CHAMPLAIN AVE, 60637",TILL
POINT (-87.61921444366602 41.73454990758765),610066,1846669.79324,1179161.82621,Traditional,ES,"K, 1, 2, 3, 4, 5, 6","8801 S INDIANA AVE, 60619",MCDADE
POINT (-87.69178650208616 41.76814276384329),610067,1858754.71461,1159262.61141,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6901 S FAIRFIELD AVE, 60629",MCKAY
POINT (-87.76151477061356 41.92395525728403),610068,1915398.0006,1139862.7716,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5411 W FULLERTON AVE, 60639",HANSON PARK
POINT (-87.67628825215505 41.967846866944384),610070,1931558.42234,1162933.52664,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4728 N WOLCOTT AVE, 60640",MCPHERSON
POINT (-87.68318458636575 41.89208216526377),610073,1903935.31256,1161267.41055,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2233 W OHIO ST, 60612",MITCHELL
POINT (-87.71922375096231 41.92998860303459),610074,1917676.14499,1151356.00715,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3651 W SCHUBERT AVE, 60647",MONROE
POINT (-87.69694138617929 41.91250548308736),610076,1911349.48999,1157466.5904,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1711 N CALIFORNIA AVE, 60647",MOOS
POINT (-87.68854925525291 41.78431328076809),610077,1864653.72873,1160101.55002,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6011 S ROCKWELL ST, 60629",MORRILL
POINT (-87.65157334215013 41.94900330015414),610078,1924744.26602,1169709.41499,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","851 W WAVELAND AVE, 60613",INTER-AMERICAN
POINT (-87.64133980576402 41.84440015810834),610081,1886649.17358,1172800.70441,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","533 W 27TH ST, 60616",SHERIDAN
POINT (-87.70580994472903 41.6957338615494),610082,1832341.46363,1155629.39328,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","10841 S HOMAN AVE, 60655",MOUNT GREENWOOD
POINT (-87.78963033157311 41.97012488233337),610083,1932172.54743,1132104.75005,Specialty,ES,"PK, K, 1, 2, 3","6445 W STRONG ST, 60656",BEARD
POINT (-87.69727833700603 41.69717033376076),610084,1832881.9865,1157955.55858,Traditional,ES,"1, 2, 3, 4, 5, 6, 7, 8","3020 W 108TH ST, 60655",KELLER
POINT (-87.64765248687098 41.70195211636729),610086,1834728.39881,1171494.4964,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","10540 S MORGAN ST, 60643",MOUNT VERNON
POINT (-87.79060442456863 41.77655626926709),610087,1861634.93588,1132285.84483,Specialty,ES,"PK, K, 1, 2","6751 W 63RD PL, 60638",BLAIR
POINT (-87.72188814467631 41.92090964906956),610088,1914362.58042,1150654.58434,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","2200 N HAMLIN AVE, 60647",MOZART
POINT (-87.7168318552293 41.9500777530905),610089,1925001.34819,1151954.2238,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3539 W GRACE ST, 60618",MURPHY
POINT (-87.5933404053317 41.79853548435717),610090,1870045.31177,1186023.34464,Traditional,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","5335 S KENWOOD AVE, 60615",MURRAY
POINT (-87.638957725196 41.66487334928807),610091,1821236.40906,1173977.75587,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","12607 S UNION AVE, 60628",BROWN R
POINT (-87.74793587821061 41.89180975019866),610092,1903709.11092,1143638.04161,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4837 W ERIE ST, 60644",NASH
POINT (-87.62093345511654 41.738406594368776),610093,1848071.24417,1178681.00302,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","8555 S MICHIGAN AVE, 60619",NEIL
POINT (-87.64456122231692 41.94163655405973),610094,1922075.05155,1171638.50595,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","3252 N BROADWAY ST, 60657",NETTELHORST
POINT (-87.64599025179788 41.91394721710463),610095,1911981.87882,1171330.60466,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","700 W WILLOW ST, 60614",NEWBERRY
POINT (-87.68913886417093 41.79771437860455),610096,1869535.79147,1159904.15508,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5250 S ROCKWELL ST, 60632",NIGHTINGALE
POINT (-87.73142009081249 41.91958145214497),610097,1913860.23202,1148063.85527,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6","2121 N KEELER AVE, 60639",NIXON
POINT (-87.72995463177843 41.90615515234865),610098,1908970.48458,1148497.10801,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","4127 W HIRSCH ST, 60651",NOBEL
POINT (-87.8029794402957 41.98815250593599),610099,1938719.13374,1128433.9047,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5900 N NINA AVE, 60631",NORWOOD PARK
POINT (-87.73244309565793 41.90690720506762),610100,1909239.77768,1147817.79506,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1425 N TRIPP AVE, 60651",WEST PARK
POINT (-87.64546949689873 41.754670062092764),610102,1853943.02213,1171937.11625,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","7646 S GREEN ST, 60620",OGLESBY
POINT (-87.57280595498251 41.76860231188592),610103,1859186.7226,1191718.97235,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6940 S MERRILL AVE, 60649",OKEEFFE
POINT (-87.79310825534886 41.99379034896786),610104,1940790.36484,1131104.56897,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6634 W RAVEN ST, 60631",ONAHAN
POINT (-87.8120540397679 41.97850137610472),610105,1935187.07322,1125988.24817,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","5424 N OKETO AVE, 60656",ORIOLE PARK
POINT (-87.73126059628552 41.90013965538226),610106,1906775.94041,1148156.99156,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","1040 N KEELER AVE, 60651",PICCOLO
POINT (-87.66542623591396 41.89180608125555),610107,1903871.84484,1166103.32214,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","525 N ARMOUR ST, 60642",OTIS
POINT (-87.67486500006889 41.774571072845625),610108,1861132.02481,1163860.85025,Traditional,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","6550 S SEELEY AVE, 60636",OTOOLE
